Cause,Title,Summary
Caught in/between Objects,Died crushed by timber,"The victim, 52, a Malaysian citizen, died when he was crushed by a tree log that rolled over his body. During the incident the victim was carrying out tree cutting works in the logging area. While cutting the trees, the timber rolled over and crushed the victim. He was rushed to the hospital but died upon arriving to hospital."
Falls,Died falling from height,"The victim, 35, a foreign national, died when he fell from a rooftop at a height of 8 metres. During the incident the victim was carrying out 'T-Beam' concrete works for one of the houses still in construction. While he was doing the works he fell to the ground and died at the scene."
Falls,Died falling from height,"The victim, 31, a foreign national, died when he fell from a segment at a height of 10.7 metres. During the incident, the victim was carrying out works to clean up wastes of building materials in an elevated road segment. While he was cleaning up, he fell into an uncovered manhole. He suffered injuries to the head and hand and eventually died at the scene."
Struck By Moving Objects,Died crushed by tractor,"The victim, 30, a foreign national, died when he was crushed by a tractor. During the incident the victim was carrying out hole closing works on the road surface. He was driving a tractor carrying earth to close the holes when suddenly the tractor lost its balance and fell over onto the victim."
Struck By Moving Objects,Death by being rolled over by road roller,"The victim, 18, a Malaysian citizen, died when he was rolled over by a road roller. During the incident the victim was carrying out road levelling works in the plantation using the roller. He stopped the roller and went in front of it to see something when suddenly the roller rolled over him. The victim died at the scene."
Caught in/between Objects,Died being wedged between cages,"The victim, 22, an foreign national, died when he was wedged between cages. During the incident the victim was carrying out works of pulling out cages of oil palm fruits from sterilizers. While the victim was pulling out the cages, he ask some shoveling help. As the shoveler was pushing the cages, he found that the victim was caught between the cages and rushed to send the victim to a nearby hospital. The victim died on the way to the hospital."
Fires and Explosion,Death due to exploding barrel drums,"A local worker, age 30, died when barrel drums undergoing welding suddenly exploded. During the incident the victim was carrying out renovation works to the drums in order to use them for diesel oil storage. As the victim was welding the cover of the drum, the drum exploded causing the cover to fling towards to chest and face of the victim. He was rushed to the nearest hospital but died after several days of receiving treatment."
Falls,Died falling off a ladder,"A local worker, age 31, died after he slipped and fell off a ladder. During the incident the victim was carrying out works to change the connections of street lights. As the victim was descending the ladder after completing his work, he suddenly slipped and fell to the ground. The height of his fall was 3.5 metres. The victim was unconscious and rushed to a nearby hospital. He died on 17.03.2011."
Falls,Died falling off trailer,"A foreign worker, age 26, died when he fell off a trailer. During the incident the victim together with a tractor driver entered a farm to collect empty barrels used to store mixtures of herbicides after works of spraying have finished. While the tractor which they rode was descending a hill, the victim fell of the trailer and was hit by the trailer's rear tyre. He died at the scene due to severe injuries at the back of the head."
Falls,Died falling from height,"A foreign worker, age 30 years old, died when he fell from height. During the incident the victim was on the 8th floor and was bringing down a concrete barrel to a place to pour concrete. Strong winds hit the area causing the barrel to sway and hit the wooden support on the 9th floor. The wooden support broke and fell off. The victim tried to avoid the support causing him to lose his balance and fall to the ground."
Caught in/between Objects,Died crushed by timber,"A local worker, 26 years old, died due to being crushed by a tree log. During the incident the victim, an excavator driver was doing work of placing tree logs onto a truck. Suddenly a strong gust of wind hit the area. A rotted tree log fell and crushed the victim. The victim died on the way to the nearest hospital."
Falls,Died falling into river,"A local worker, aged 20, died when he drowned in a river. During the incident the victim, a general worker, was doing repairs on a damaged pipeline of a sand sucker. After completing the repairs, the victim traversed the pipeline to go the river bank to buy some food at a nearby shop. Suddenly he slipped and fell into the river. The river current was very fast, causing the victim to be swept away and drowned."
Falls,Died falling off portable stairs,"A foreign worker, 32, died when he fell from a height of 5 metres. During the incident, the victim was carrying out spraying works of a material called 'debond release agent' using portable stairs. The material is used to facilitate separation when 'joining processes' are done between segments. The stairs failed to move, so the victim tried to climb onto one of the segments. Upon boarding a segment, he fell down. He died at the scene due to severe head injury."
Struck By Moving Objects,Died being rolled over by tractor,"A local worker, aged 47, died by being rolled over by a tractor. During the incident, he was sitting on the mudguard of the tractor. The tractor was on its way to collect oil palm fruits when the front part of the tractor suffered damage. The screw that supports the front weight bar of the tractor broke. The tractor driver hurriedly stopped his tractor causing the victim to fall. The victim was then rolled over by the tractor's tyres."
Falls,Died falling off factory roof,"A local worker, aged 47, died when he fell off the roof of a factory which was 13.7 metres high. The victim was doing roof repairs at the time. During the incident, the victim accidently stepped on the thermoplastic/PVC part of the roof. The roof broke instantly causing the victim to fall down to the ground. He died at the scene due to severe head injury."
Collapse of object,Death caused by sudden floor collapse,"A foreign worker, aged 30 years old, died when a floor structure suddenly collapsed. During the incident, the victim was carrying out cement leveling work where the cement was pumped onto the formwork structure. As the cement was being poured, suddenly the structure collapsed. The victim fell with it and was buried by the concrete. The victim died on the spot."
Falls,Death caused by falling into machine,"A foreign worker, aged 34 years old, died when he fell into a wood shredder machine. During the incident, he was given the task of shredding boards using the machine. He fell into the machine while using it. His whole body disintegrated, killing him instantly."
Struck By Moving Objects,Killed by a tractor commutting to workplace,"The victim, 28, was killed after being involved in an accident on the way to workplace."
Struck By Moving Objects,Hit by bulldozer,"The victim, 21, was killed after a bulldozer toppled during clearing of the work site."
Falls,Fall from height,"The victim, a foreign worker, was killed after falling from height. During the incident, the victim was putting silicon in between the windows mirrors. Unfortunately, he stepped on an area with no mirror installed, and fell down onto the skylift."
Falls,Fell from scaffold,"The victim, 23, was killed after falling down from scaffold."
Other,Sudden death after fainting,"The victim, 40 years,was found death after fainting."
Falls,Fall from height,"The victim, 28 years, a foreign national, was killed after falling from 24th floor to 6th floor. During the accident, the victim was doing cleaning/clearing works at the 24th floor."
Collapse of object,Scaffold collapsed,"The victim, 37 years, a foreign national, was killed after a scaffold collapsed at a construction site."
Other,Found death in confined space,Six victims were killed in a confined space (a treated water pumping tank). They were killed due to toxic gases.
Struck By Moving Objects,Hit by a bulldozer,"The victim, 62 years, was killed after being hit by a bulldozer which was sliding from a slope."
Struck By Moving Objects,Hit by a tractor,"The victim, 43 years, was killed after falling down from a tractor. During the incident, the victim was on the way back after finished collecting oil palm fruits."
Falls,Falling down inside the bin,"The victim, 25 tahun, from Nepal, died after falling into a bin through its opening. During the incident, the victim was doing scraping works of the bin."
Struck By Moving Objects,Hit by excavator,"The victim, 27 years, from Indonesia, was killed after being hit by an excavator during cleaning activity."
Struck By Moving Objects,Hit by bulldozer,"The victim, 14 years, was killed after being hit by a bulldozer. During incident, the victim was playing near the machine."
Other,Found dead in a toilet,"The victim, 40 years, was found dead in a toilet by other worker."
Other,Killed in confined space,"Two foreign workers were found dead in a confined space at the sewage plant. During the incident, they were doing cleaning works at the manhole."
Caught in/between Objects,Struck by a tree,"The victim, 39 years, a foreign national, was killed after being struck by a tree (logging)."
Caught in/between Objects,Struck by a tree,"The victim, 55 years, was killed after being struck by a tree (logging)."
Falls,Fall from height,"The victim, 35 years, a foreign national, was killed after falling from a height of 7 metres. During the incident, the victim was installing water cooling cables."
Drowning,Drowned at river re-construction site,"The victim, 7 years, was found drowned at a river re-construction site."
Caught in/between Objects,Pinched between objects,"The victim, 45 years, was killed after being pinched between a mobile crane counterweight and the back of a trailer body."
Falls,Fall from height,"The victim, 39 years, was killed after falling from the 3rd floor of a school building. During the incident, the victim was doing painting works and renovating the school building."
Other,Killed during repair work,"The victim,30 years, a foreign national, was killed after serious burning while doing welding (repair) works on a reactor."
Collapse of object,Buried with waste disposal,"The victim, 44 years, was buried with rubbish in the local district council waste disposal. During the incident the victim was collecting cans and plastic bottles for selling."
Struck By Moving Objects,Killed by sanding calibrator machine,"The victim, 35 years, a foreign national, was killed after being struck by a sanding calibrator door, which was not properly closed."
Caught in/between Objects,Struck by an object,"The victim, 26 years, was killed after being struck by a tree (logging)."
Caught in/between Objects,Struck by an object,"The victim, 32 years, a foreign worker, was killed after being struck by a tree (logging)."
Caught in/between Objects,Struck by Cooling Tower Fan,"The victim, 34 years old, a foreign worker, was killed after being struck by cooling tower fan while doing the maintenance."
